,date,Malicious_IP,customers,mitigation
72,2025-08-25 11:25:48,23.61.199.64,Customer_10,mitigation_2821
73,2025-08-25 10:59:14,67.58.98.67,Customer_10,mitigation_2821
74,2025-08-25 11:27:18,95.100.173.67,Customer_10,mitigation_2821
75,2025-08-25 11:27:29,95.100.174.66,Customer_10,mitigation_2821
76,2025-08-25 11:03:28,175.165.113.167,Customer_10,mitigation_2821
77,2025-08-25 11:25:43,184.85.248.65,Customer_10,mitigation_2821
78,2025-08-25 11:27:08,187.110.164.4,Customer_10,mitigation_2821
79,2025-08-25 11:26:10,193.108.91.254,Customer_10,mitigation_2821
80,2025-08-26 10:51:12,193.108.91.254,Customer_10,mitigation_2849
81,2025-08-26 11:04:20,2.16.130.65,Customer_10,mitigation_2853
82,2025-08-26 11:02:02,23.61.199.64,Customer_10,mitigation_2853
83,2025-08-26 11:05:46,95.100.173.67,Customer_10,mitigation_2853
84,2025-08-26 11:03:08,95.100.174.66,Customer_10,mitigation_2853
85,2025-08-26 11:03:45,184.85.248.65,Customer_10,mitigation_2853
86,2025-08-26 11:02:35,193.108.91.254,Customer_10,mitigation_2853
87,2025-08-27 00:46:51,116.115.4.197,Customer_10,mitigation_2872
88,2025-08-27 01:23:18,176.235.182.125,Customer_10,mitigation_2872
89,2025-08-26 22:12:29,182.93.58.234,Customer_10,mitigation_2872
90,2025-08-27 03:08:47,183.23.129.75,Customer_10,mitigation_2872
91,2025-08-26 22:33:51,222.182.123.43,Customer_10,mitigation_2872
92,2025-08-28 07:08:43,103.122.0.242,Customer_10,mitigation_2900
93,2025-08-28 07:08:31,2.16.130.65,Customer_10,mitigation_2901
94,2025-08-28 07:05:06,23.61.199.64,Customer_10,mitigation_2901
95,2025-08-28 07:03:20,95.100.173.67,Customer_10,mitigation_2901
96,2025-08-28 07:06:55,95.100.174.66,Customer_10,mitigation_2901
97,2025-08-28 07:05:35,184.85.248.65,Customer_10,mitigation_2901
98,2025-08-28 07:06:24,193.108.91.254,Customer_10,mitigation_2901
99,2025-08-28 17:31:49,5.206.24.192,Customer_10,mitigation_2902
100,2025-08-29 02:20:40,111.179.172.253,Customer_10,mitigation_2902
101,2025-08-28 16:11:17,115.46.159.153,Customer_10,mitigation_2902
102,2025-08-28 22:28:08,120.33.192.2,Customer_10,mitigation_2902
103,2025-08-28 14:03:10,121.61.99.123,Customer_10,mitigation_2902
104,2025-08-29 05:10:28,121.232.178.72,Customer_10,mitigation_2902
105,2025-08-28 23:54:03,123.97.47.30,Customer_10,mitigation_2902
106,2025-08-28 09:00:03,124.130.173.58,Customer_10,mitigation_2902
107,2025-08-28 19:01:59,140.237.45.86,Customer_10,mitigation_2902
108,2025-08-28 21:53:03,171.36.249.186,Customer_10,mitigation_2902
109,2025-08-28 12:35:12,175.0.70.63,Customer_10,mitigation_2902
110,2025-08-28 21:22:40,175.9.40.84,Customer_10,mitigation_2902
111,2025-08-29 14:49:08,175.165.113.167,Customer_10,mitigation_2902
112,2025-08-28 10:14:46,182.118.186.219,Customer_10,mitigation_2902
113,2025-08-28 12:08:16,182.126.91.136,Customer_10,mitigation_2902
114,2025-08-28 18:55:37,183.95.168.1,Customer_10,mitigation_2902
115,2025-08-29 01:11:06,219.156.146.20,Customer_10,mitigation_2902
116,2025-08-28 10:20:06,222.182.123.29,Customer_10,mitigation_2902
117,2025-08-29 04:53:05,2.16.130.65,Customer_10,mitigation_2921
118,2025-08-29 04:55:35,23.61.199.64,Customer_10,mitigation_2921
119,2025-08-29 05:02:20,81.177.125.9,Customer_10,mitigation_2921
120,2025-08-29 05:00:38,94.72.113.2,Customer_10,mitigation_2921
121,2025-08-29 04:55:21,95.100.173.67,Customer_10,mitigation_2921
122,2025-08-29 04:54:34,95.100.174.66,Customer_10,mitigation_2921
123,2025-08-29 04:53:48,184.85.248.65,Customer_10,mitigation_2921
124,2025-08-29 04:53:12,193.108.91.254,Customer_10,mitigation_2921
125,2025-08-29 10:20:59,2.16.130.65,Customer_10,mitigation_2929
126,2025-08-29 10:37:21,23.61.199.64,Customer_10,mitigation_2929
